Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,mass_err,mass,restframe_gz,restframe_gz_err,d_dlr,ANGSEP_ARCSEC,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN,ABS_DIFF,RESIDUAL,residual_centered,VDISP,LOGMSTAR,SFR,DN4000,ABSMAG01_SDSS_G,ABSMAG01_SDSS_R
106,ZTF18aaommeg,0.11006606,3.45E-05,z_gal,58246.94117,0.000360338,1.009277801,0.042740845,0.216822963,1.15E-05,0.130568449,0.03169832,-2.59E-07,-0.01277907,0.000362167,-4.12E-08,-2.99E-07,-0.000821745,0.029914748,3.1,0,0.150061583,254.714877,30.184943,snia-cosmo,91t,1,1,,100,254.7147886,30.18521242,0.138621788,9.947,1.39869653,0.036619667,0.442554471,0.245193748,3.96285E+16,254.7147766,30.18514511,5.76461E+18,GALAXY,0.110059648,0,6.41E-06,6.41E-06,0.163553438,130.79572,10.360495,0.8612611,1.6253978,-17.873327,-19.112345
108,ZTF18aaoufjt,0.02983007,1.10E-05,z_gal,58636.56445,0.000456535,1.160252848,0.733974038,0.154340743,1.53E-05,0.145090175,0.02940539,-1.80E-07,-0.00137968,0.000167007,-3.54E-08,-3.99E-07,-0.000159215,0.015648105,3.1,0,0.9096677,215.321789,35.508844,snia-cosmo,99aa,1,1,2019fyi,100,215.3224707,35.50939535,0.106976633,9.882,0.92369653,0.020615528,0.379512749,0,3.9633E+16,215.3224707,35.50939535,5.76461E+18,GALAXY,0.029828678,0,1.39E-06,1.39E-06,-0.452459605,79.392876,10.125119,0.22426127,1.5432004,-18.770613,-19.432638
113,ZTF18aapqwyv,0.05600965,2.23E-05,z_gal,58244.19574,0.000695546,-1.842506567,0.096944596,0.088507171,2.24E-05,0.07025971,0.029960464,-2.48E-08,0.000659408,-0.000282243,-1.98E-07,-5.65E-07,-9.23E-05,0.03943227,3.1,0,1.93E-12,251.605415,25.42149,snia-cosmo,norm,1,0,2018bhc,99.32432432,251.6054197,25.42148756,0.117136672,10.052,1.17769653,0.017691806,0.004616597,9.31E-11,3.96284E+16,251.6054197,25.42148756,1.15292E+18,GALAXY,0.056007944,0,1.71E-06,1.71E-06,-0.048412216,121.516716,10.09734,0,1.916928,-18.221321,-19.09489
120,ZTF18aaqcugm,0.06186272,1.61E-05,z_gal,58254.9474,0.001171,-0.954839382,-0.09263694,0.049550637,3.45E-05,0.061071903,0.026733121,3.09E-07,2.41E-05,-0.000258439,1.69E-08,-7.90E-07,-0.00019898,0.008074653,3.1,0,2.66E-08,202.052996,53.916045,snia-cosmo,norm,1,0,2018bhi,100,202.0534106,53.91170811,0.140014285,10.336,1.21269653,0.018439089,3.175883383,0.032843916,3.96333E+16,202.0534164,53.91169966,5.76461E+18,GALAXY,0.06186971,0,6.99E-06,-6.99E-06,0.02178322,156.76302,10.44162,0.19247064,1.78822,-19.596563,-20.481104
124,ZTF18aaqehoc,0.06206565,1.25E-05,z_gal,58251.2841,0.000983904,-0.524963638,0.037731701,0.048216746,2.93E-05,0.046799488,0.026904385,1.82E-07,-0.000413942,-0.00016679,1.40E-08,-6.79E-07,-0.000164359,0.014565016,3.1,0,0.000242107,228.185602,40.10991,snia-cosmo,norm,1,1,2018bgq,100,228.1856548,40.10989328,0.106625513,9.989,1.06469653,0.019104973,0.036219684,2.35E-10,3.96331E+16,228.1856548,40.10989328,5.76461E+18,GALAXY,0.062080482,0,1.48E-05,-1.48E-05,0.16904049,125,10.13401,0,1.3995366,-18.77958,-19.558218
130,ZTF18aaqgbju,0.09368286,1.97E-05,z_gal,58238.73919,0.000773461,0.817581232,0.037949103,0.204459081,2.66E-05,0.166492632,0.031328895,6.68E-07,-0.006173479,-0.001298784,-1.35E-06,-6.37E-07,-0.000445721,0.027459245,3.1,0,0.701138136,236.566628,29.094635,snia,,1,1,2018bfk,100,236.5666806,29.0942098,0.125,9.201,0.49969653,0.069260378,1.254650613,0,3.96285E+16,236.5666806,29.0942098,5.76461E+18,GALAXY,0.093683194,0,3.34E-07,-3.34E-07,0.635170463,125,9.068043,0.05407549,1.0428678,-18.012531,-18.33588
141,ZTF18aaqpsvo,0.13505192,1.14E-05,z_gal,58250.29847,0.000115036,-0.869565262,-0.02446805,0.361607174,5.36E-06,0.384784545,0.049922132,5.00E-07,0.002588668,-0.006243616,-9.06E-07,-1.88E-07,0.000880444,0.010518608,3.1,0,0.088253658,199.627167,32.002056,snia-cosmo,norm,1,1,,100,199.6273515,32.00240131,0.103077641,9.587,0.89969653,0.085615419,0.64633761,0,3.96285E+16,199.6273515,32.00240131,5.76461E+18,GALAXY,0.135051986,0,6.55E-08,-6.55E-08,-0.501023678,125,9.399792,0,1.2641221,-18.214235,-18.69959
144,ZTF18aaqskoy,0.08608382,1.12E-05,z_gal,58255.06817,0.000827888,1.067524777,-0.111923985,0.075821674,2.45E-05,0.07175291,0.02862336,2.51E-07,-0.000792972,-0.000358985,-1.61E-08,-5.91E-07,-0.000276797,0.020519228,3.1,0,0.999883798,255.907767,36.429186,snia-cosmo,norm,1,1,2018bhv,100,255.9070527,36.42818618,0.120370262,8.656,0.53269653,0.116927328,4.303256524,8.23E-11,3.9633E+16,255.9070527,36.42818618,2594,GALAXY,0.086084197,0,3.77E-07,-3.77E-07,0.01698117,125,8.557097,0.054797836,1.2455878,-16.351871,-16.662607
145,ZTF18aaqvuhl,0.03113501,1.15E-05,z_gal,58822.94495,0.002607698,-1.186136863,0.072546011,0.756030585,0.000225358,0.213255899,0.049137166,-0.000121353,0.01600813,0.009701219,-2.24E-05,-6.93E-06,-0.000991954,0.024619622,3.1,0,0.7198285,239.298488,34.525422,snia,,0,1,2019xax,100,239.2983909,34.5253682,0.124402572,9.625,1.15369653,0.019104973,0.066759175,8.43E-11,3.9633E+16,239.2983909,34.5253682,5.76461E+18,GALAXY,0.031134889,0,1.21E-07,1.21E-07,-0.107361211,82.88696,9.813473,0.011665511,1.5882624,-17.35397,-18.1996
151,ZTF18aarcypa,0.03207842,1.46E-05,z_gal,58252.46267,0.000914108,-3.040307605,0.151688402,0.339358728,7.87E-05,0.290328741,0.071914359,1.71E-05,-0.008489621,-0.014896053,-9.42E-06,-5.24E-06,0.00673033,0.023253725,3.1,0,0.107661458,167.459331,28.971408,snia-pec,91bg,1,0,2018bil,100,167.459578,28.97132668,0.155438091,10.453,1.21369653,0.017691806,0.115083612,0,3.96285E+16,167.459578,28.97132668,5.76461E+18,GALAXY,0.032077796,0,6.24E-07,6.24E-07,-0.641123696,120.466965,10.167436,0,1.9264069,-18.948164,-19.890345
